1,75.133329,1,Warrior,0.0,12,0,10,6,5,20,35,9,1,Ranger,42.383331,5,0,6,0,2,6,9,3,1,Slime,0.0,2,5,4,0,5,30,29,8,2,Warrior,75.133329,17,0,11,1,6,24,29,8,2,Ranger,60.566663,8,0,6,0,3,9,15,5,2,Slime,52.099997,2,2,6,0,2,12,16,4,3,Warrior,48.816664,5,0,13,2,2,8,8,3,3,Ranger,70.766662,13,0,5,0,5,15,18,6,3,Slime,37.333331,0,1,5,0,1,6,7,2,0,Warrior,54.866663,7,0,11,0,3,12,13,4,0,Ranger,29.083332,2,0,6,0,1,3,6,2,0,Slime,32.283331,1,0,5,0,1,6,7,2,
1,84.116662,1,Warrior,72.683329,10,0,11,0,4,16,24,6,1,Ranger,0.0,17,0,2,2,6,18,27,10,1,Slime,0.0,2,1,4,0,2,12,26,9,2,Warrior,84.116662,14,0,13,3,6,22,36,9,2,Ranger,67.199996,7,0,5,0,3,9,15,5,2,Slime,55.316663,0,4,7,0,2,12,16,4,3,Warrior,50.999997,4,0,12,1,2,8,11,3,3,Ranger,76.566662,13,0,5,0,5,15,17,6,3,Slime,64.08333,3,2,5,0,3,18,15,4,0,Warrior,61.549996,8,0,10,0,3,12,12,4,0,Ranger,28.949998,2,0,6,0,1,3,6,2,0,Slime,47.033331,3,0,5,0,2,12,10,3,
1,82.499995,1,Warrior,0.0,12,0,15,8,5,20,34,9,1,Ranger,44.299997,6,0,6,0,2,6,9,3,1,Slime,0.0,2,7,1,0,6,36,31,8,2,Warrior,82.499995,19,0,12,2,7,26,30,8,2,Ranger,64.749996,8,0,6,0,3,9,15,5,2,Slime,53.549997,0,3,6,0,2,12,16,4,3,Warrior,49.23333,5,0,12,1,2,8,11,3,3,Ranger,76.966662,13,0,5,0,5,15,17,6,3,Slime,71.183329,5,2,5,0,4,24,19,5,0,Warrior,57.966663,8,0,10,0,3,12,13,4,0,Ranger,29.066665,2,0,5,0,1,3,6,2,0,Slime,32.266665,2,0,5,0,1,6,7,2,
2,74.733329,1,Warrior,54.88333,7,0,11,0,3,12,17,4,1,Ranger,68.616663,9,0,7,1,3,9,16,6,1,Slime,74.733329,6,1,5,0,4,24,29,8,2,Warrior,0.0,12,0,7,2,5,20,35,8,2,Ranger,0.0,14,0,3,0,5,15,19,8,2,Slime,53.58333,2,1,6,0,2,12,16,4,3,Warrior,35.499998,3,0,12,1,1,4,6,2,3,Ranger,61.916663,8,0,5,0,3,9,12,4,3,Slime,51.88333,2,1,5,0,2,12,11,3,0,Warrior,65.649996,11,0,11,0,4,16,18,5,0,Ranger,28.949998,2,0,6,0,1,3,6,2,0,Slime,45.299997,3,0,5,0,2,12,10,3,
2,85.249995,1,Warrior,54.599997,7,0,10,0,3,12,17,4,1,Ranger,65.866663,8,0,6,1,3,9,15,5,1,Slime,85.249995,5,1,7,0,5,30,34,9,2,Warrior,0.0,13,0,6,2,5,20,34,9,2,Ranger,0.0,10,0,3,1,4,12,24,9,2,Slime,0.0,3,5,4,0,5,30,32,8,3,Warrior,52.066664,4,0,13,2,2,8,8,3,3,Ranger,69.416663,7,0,5,0,3,9,15,5,3,Slime,37.349998,0,2,5,0,1,6,7,2,0,Warrior,75.033329,12,0,10,0,5,20,22,6,0,Ranger,29.066665,3,0,5,0,1,3,6,2,0,Slime,45.216664,3,0,5,0,2,12,10,3,
3,79.116662,1,Warrior,71.283329,8,0,10,0,4,14,27,6,1,Ranger,67.866663,9,0,6,0,4,12,15,5,1,Slime,42.483331,2,0,5,0,1,6,12,3,2,Warrior,79.116662,12,0,12,1,5,18,36,8,2,Ranger,65.933329,5,0,6,0,2,6,15,5,2,Slime,53.28333,2,1,5,0,2,12,16,4,3,Warrior,35.616665,3,0,11,1,1,4,6,2,3,Ranger,0.0,18,0,0,0,7,21,21,8,3,Slime,63.666663,3,2,5,0,3,18,15,4,0,Warrior,77.816662,8,0,11,0,4,14,31,7,0,Ranger,29.066665,2,0,5,0,1,3,6,2,0,Slime,60.266663,5,0,6,0,3,18,15,4,
1,82.149995,1,Warrior,0.0,13,0,11,2,7,26,34,9,1,Ranger,44.216664,5,0,5,0,2,6,9,3,1,Slime,69.699996,2,1,5,0,3,18,20,5,2,Warrior,82.149995,17,0,14,3,7,26,34,8,2,Ranger,66.266663,7,0,6,0,3,9,15,5,2,Slime,55.249997,0,3,6,0,2,12,16,4,3,Warrior,50.93333,5,0,12,1,2,8,11,3,3,Ranger,76.783329,11,0,6,0,4,12,17,6,3,Slime,73.599996,5,2,5,0,4,24,19,5,0,Warrior,71.316662,10,0,10,0,4,16,18,5,0,Ranger,32.499998,3,0,5,0,1,3,6,2,0,Slime,47.416664,3,0,6,0,2,12,11,3,
1,95.616661,1,Warrior,0.0,18,0,17,11,7,26,36,14,1,Ranger,42.449997,4,0,6,0,2,6,9,3,1,Slime,88.933328,1,13,5,0,9,54,32,11,2,Warrior,95.616661,29,0,13,2,11,44,51,13,2,Ranger,62.249996,6,0,5,0,2,6,15,5,2,Slime,51.58333,0,3,7,0,2,12,16,4,3,Warrior,35.466665,3,0,11,1,1,4,6,2,3,Ranger,77.283329,17,0,5,0,6,18,21,7,3,Slime,59.98333,3,2,5,0,3,18,15,4,0,Warrior,56.08333,6,0,10,0,3,12,13,4,0,Ranger,28.949998,2,0,5,0,1,3,6,2,0,Slime,32.149998,1,0,5,0,1,6,7,2,
1,78.033329,1,Warrior,0.0,13,0,6,0,5,20,41,9,1,Ranger,56.716663,8,0,5,0,3,9,12,4,1,Slime,42.366664,1,0,5,0,1,6,12,3,2,Warrior,78.033329,15,0,14,3,7,26,36,8,2,Ranger,62.766663,6,0,6,0,2,6,15,5,2,Slime,53.28333,0,3,6,0,2,12,16,4,3,Warrior,35.499998,2,0,12,1,1,4,6,2,3,Ranger,76.099995,16,0,5,0,6,18,21,7,3,Slime,67.349996,3,1,6,0,4,24,19,5,0,Warrior,58.766663,9,0,10,0,3,12,17,4,0,Ranger,28.949998,2,0,5,0,1,3,6,2,0,Slime,45.799997,3,0,5,0,2,12,11,3,
2,81.999995,1,Warrior,81.999995,14,0,12,2,6,24,29,9,1,Ranger,42.216664,6,0,6,0,2,6,9,3,1,Slime,75.483329,5,2,6,0,4,24,28,7,2,Warrior,63.88333,10,0,12,0,4,16,19,5,2,Ranger,0.0,17,0,3,4,7,21,25,9,2,Slime,0.0,2,2,3,0,4,24,26,8,3,Warrior,37.083331,2,0,11,1,1,4,6,2,3,Ranger,70.216662,10,0,6,0,4,12,15,5,3,Slime,51.899997,2,1,6,0,2,12,10,3,0,Warrior,68.399996,10,0,10,0,4,16,16,5,0,Ranger,32.383331,2,0,5,0,1,3,6,2,0,Slime,45.416664,4,0,6,0,2,12,11,3,
